_id,address,annualLeaveQuota,createdAt,departmentId,email,firstName,lastName,password,phone,position,roleId,salary,updatedAt,username
69c84506c64092772f1fe1f1,,10,2026-03-28 21:15:50.366000,69b2f6b52983685f18893a80,pap.dx@examplec.om,Pap,DX,$2a$12$V1Y8EeMhn3ofoBfIBRfbBuupIfl6vQngj4g2RBO7ttJDoD9P3f/QW,48548451545,Senior HR,69707171407a382db0243cb6,15200,,papxd
69c92d8d276895ddbb195916,,6,2026-03-29 13:47:57.419000,696a6fb90b6849bd411eedc0,Tanakit.ki@exam.com,Tanakit,Kittipat,$2a$12$GG0LywbJBYrtMeOc0i2I3eL896VhLB6asQTWpuqL4IGE86.oSHTGG,0987854587,Junior IT Printer Manager,696a6faf0b6849bd411eedbe,19800,,employee
69c933c85b6a4f39f72318e3,,6,2025-03-29 14:14:32.257000,6984aaa27849100ffea2fc76,summer.win@exam.com,Summer,Winter,$2a$12$v/OkSlxj.UqhzDI9SBIZHO3umJQjIbiB/AUXE6ZTBhVo/MmWAZzVy,0988574587,Senior HR,69772220c93be719d7b3ed6f,28600,,hrr
69c934435b6a4f39f72318ef,,6,2022-03-29 14:16:35.556000,6984aaa97849100ffea2fc77,Tanachart.dd@gmail.com,Tanachart,Disatum,$2a$12$eA009wVmqzeLNzxjEGZyB.MZi1sdPywX24GnxdjzSAmlCD6tJ.DOW,0547874514,Head of Manager,697f4af453061dbd6d878deb,69870,,manager
69c947fe89315d51bac071d7,,6,2019-03-29 15:40:46.977000,696a6fb90b6849bd411eedc0,Tanakit.sir@exam.com,Tanakit,Siriteerapun,$2a$12$0ijZq4u6896v6SC3NWA16e42NEIZ9nCbXu9mJ8yfo4TnTtUVCqmHe,0254787454,Junior Programer,697f4af453061dbd6d878deb,25000,,diwjiw
69c993e94f15ddb1a957eccb,,6,2023-03-29 21:04:41.087000,6984aaa27849100ffea2fc76,sick.leave@exam.com,Sick,Leave,$2a$12$FS50jZF3wn.WdQXhjKz0ledPfnbDiXlrxKqY9mzlvR0dEGlvFkEy6,0988254578,Senior Professional Account,696a6faf0b6849bd411eedbe,12500,,sick
69c996854f15ddb1a957ecd4,,6,2026-03-29 21:15:49.581000,6984aaa27849100ffea2fc76,sick.manager@exmal.com,Sick,Manager,$2a$12$5Tx7dvj..za/khga6zvmcOBwBoAnZ0DJqvlSUfHqpFLvl8rUx5FVa,0988574587,Junior Manager,697f4af453061dbd6d878deb,52000,,suck
69c997d34f15ddb1a957ecdd,,6,2025-03-29 21:21:23.390000,696a6fb90b6849bd411eedc0,unpaid.leave@exam.com,Unpaid,Leave,$2a$12$AhczL3wryYHnwI3blqze/.lGGPGDrEyDuCC0w8Lb67Yz5aYeahHlG,0988574878,Junior IT Printer Manager,696a6faf0b6849bd411eedbe,12000,,unpaid
69c997f94f15ddb1a957ece4,,6,2026-03-29 21:22:01.087000,696a6fb90b6849bd411eedc0,unpard.loeave@exam.com,Unpard,Leave,$2a$12$8054sJRIcx8RPV.yCsBk4.Rm0Ui7iRqlXVMit9ped3kn8790fP8iu,0988547878,Senior IT Printer Manager,697f4af453061dbd6d878deb,54000,,unpard
69c99e6f4f15ddb1a957ecf7,,6,2023-03-29 21:49:35.289000,6984aa927849100ffea2fc75,ordi.dk@eaxm.com,Ordination,Leave,$2a$12$FyJyGH5Ls/YGecGjmqniauhhz7a0Q1BxZUA2rdSCzDlO/HIar6VUG,0547845478,Junior Suppot,696a6faf0b6849bd411eedbe,12540,,ordi
69c99e914f15ddb1a957ecfe,,6,2026-03-29 21:50:09.690000,6984aa927849100ffea2fc75,ordi.dsk@eaxm.com,Ordination,Leaves,$2a$12$6qzrQbWCXV7oZvc/njY2B.DaHQtIZ9/2faOdg1r/1X659G34bH.PC,0547845474,Profession Support,697f4af453061dbd6d878deb,125400,,ordin
